ID,X,Y,Z,timestamp_ms
uav_0,-338.65456325998827,269.1793664383992,998.2182340607436,0.0
uav_0,-348.271049553361,275.1630147626289,1001.3159406056092,1237.0295633210312
uav_0,-357.43230864851114,273.4449604201029,1003.7013894951532,2474.0591266420624
uav_0,-365.9783002916733,265.25649548393017,1005.3291133740572,3711.088689963093
uav_0,-373.7489842290822,251.8289120272198,1006.1536448870044,4948.118253284125
uav_0,-380.5843202069736,234.3935021230811,1006.1295166786769,6185.147816605156
uav_0,-386.51573093040827,212.71044184343748,1004.9025261448052,7422.177379926186
uav_0,-391.2623866467432,189.4851936121724,1002.7046059111832,8659.206943247218
uav_0,-394.5966581297892,167.86073933965463,999.9129088063896,9896.23650656825
uav_0,-395.6214647852248,151.54093685520397,996.9884961377422,11133.26606988928
uav_0,-393.6363094500919,142.55547420118108,993.9276412192274,12370.295633210311
uav_0,-387.543959915911,142.12956488945272,989.8898029686296,13607.325196531345
uav_0,-378.3036843615622,148.99468756617554,985.568658445609,14844.354759852373
uav_0,-366.9905312421803,161.71599518975265,981.5932414415922,16081.384323173404
uav_0,-355.2470604868,178.19768824841043,978.8612412627936,17318.413886494436
uav_0,-344.71396421656954,196.45542029433568,977.8331566417252,18555.443449815462
uav_0,-336.8899283188796,213.02452229718847,978.4395348908826,19792.4730131365
uav_0,-331.67476462051906,228.74204157104663,980.885970312424,21029.50257645753
uav_0,-330.16342377658964,242.4238913524287,984.9136546830986,22266.53213977856
uav_0,-331.94378179053905,254.42392077598407,989.9439783270884,23503.56170309959
uav_0,-336.3208906003684,264.205282415449,995.001073388016,24740.591266420623
uav_0,-341.9557470100264,270.6879145002587,998.7387377959296,25977.620829741656
uav_0,-348.8828213768457,273.3569569028005,1001.7352493372777,27214.65039306269
uav_0,-356.57775751885686,270.93428952264776,1003.7795940904458,28451.679956383712
uav_0,-364.7722206484426,263.6035908013782,1005.2025370193912,29688.709519704746
uav_0,-373.0921796318776,251.24604062400607,1006.0854572486662,30925.73908302578
uav_0,-380.5843202069736,234.3935021230811,1006.1295166786769,32162.76864634681
uav_0,-386.51573093040827,212.71044184343748,1004.9025261448052,33399.798209667846
uav_0,-391.2623866467432,189.4851936121724,1002.7046059111832,34636.82777298887
uav_0,-394.5966581297892,167.86073933965463,999.9129088063896,35873.857336309906
uav_0,-395.6214647852248,151.54093685520397,996.9884961377422,37110.88689963093
uav_0,-393.6363094500919,142.55547420118108,993.9276412192274,38347.916462951966
uav_0,-387.543959915911,142.12956488945272,989.8898029686296,39584.946026273
uav_0,-378.3036843615622,148.99468756617554,985.568658445609,40821.975589594025
uav_0,-366.9905312421803,161.71599518975265,981.5932414415922,42059.005152915066
uav_0,-355.2470604868,178.19768824841043,978.8612412627936,43296.03471623609
uav_0,-344.71396421656954,196.45542029433568,977.8331566417252,44533.06427955712
